Total Housing Units,Year,Median Year Structure Built,Median Year Moved In,Percent with Bachelor's degree,Median rent burden,Evictions per units,Percent Black,Percent White,Percent Asian,Percent Native,Neighbors Mean,Number Stops,num shuttle stops
2642.0,2012,1939.0,2004.0,48.9,21.2,0.0003785011355034065,0.004048582995951417,0.8234367971210077,0.10863697705802967,0.0069725596041385505,2.0,19,0.0
2657.0,2013,1939.0,2006.0,49.7,19.3,0.0003763643206624012,0.012731981009926629,0.7977988778593008,0.11286145878290893,0.0,3.0,19,0.0
2665.0,2014,1939.0,2007.0,7.2,18.7,0.000375234521575985,0.01894865525672372,0.8135696821515892,0.10798696006519967,0.0002037489812550937,2.0,19,0.0
2675.0,2015,1939.0,2008.0,1889.0,19.1,0.0007476635514018691,0.011505460218408736,0.8297581903276131,0.09867394695787833,0.0001950078003120125,2.0,19,0.0
2635.0,2016,1939.0,2011.0,1656.0,19.4,0.0015180265654648954,0.011708132970938742,0.8555300020907379,0.07526656909889191,0.00020907380305247748,3.0,19,0.0
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,6.0,19,0.0
2044.1584,2018,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,5.0,19,0.0
1684.0,2013,1939.0,2005.0,50.3,20.7,0.0011876484560570072,0.0012505210504376823,0.7682367653188829,0.17548978741142146,0.00041684035014589413,0.0,7,0.0
1699.0,2014,1939.0,2006.0,7.4,19.9,0.0005885815185403178,0.0007727975270479134,0.7990726429675425,0.1294435857805255,0.004250386398763524,2.0,7,0.0
1699.0,2015,1939.0,2008.0,1355.0,18.2,0.0011771630370806356,0.0,0.8125241592578276,0.12369540007730966,0.0030923850019327404,3.0,7,0.0
2044.1584,2017,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,2.0,7,0.0
2044.1584,2018,1944.2644230769226,2006.5289389067527,508.8582399999994,28.240319999999965,0.0012669595937409494,0.04388550035077282,0.5149930959273683,0.3350392738745711,0.003473798967250809,1.0,7,0.0
2195.0,2011,1947.0,2005.0,52.9,19.4,0.0004555808656036447,0.006748466257668712,0.8248466257668712,0.11411042944785275,0.0,0.0,13,0.0
2193.0,2012,1939.0,2006.0,48.9,21.9,0.0004559963520291838,0.0015664160401002505,0.7973057644110275,0.17763157894736842,0.0,1.0,13,0.0
2204.0,2013,1939.0,2008.0,46.0,24.0,0.00045372050816696913,0.011875761266747869,0.784409257003654,0.16534713763702802,0.0,2.0,13,0.0
2210.0,2015,1939.0,2011.0,1546.0,22.3,0.00045248868778280556,0.010743567995476393,0.7783432287249081,0.15776081424936386,0.0,1.0,13,0.0
2264.0,2016,1939.0,2011.0,1558.0,22.2,0.001325088339222615,0.02446399120395822,0.7784496976360638,0.1456844420010995,0.0,1.0,13,0.0
