,Geoid,Year,Eviction ID,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Tract,tract_year
109,6075015100,2013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15100,151002013
110,6075015100,2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15100,151002015
111,6075015100,2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15100,151002016
112,6075015200,2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15200,152002011
113,6075015200,2012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15200,152002012
114,6075015200,2013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15200,152002013
115,6075015200,2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15200,152002014
116,6075015200,2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15200,152002015
117,6075015200,2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15200,152002016
118,6075015300,2012,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15300,153002012
119,6075015300,2013,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15300,153002013
120,6075015300,2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15300,153002017
121,6075015400,2012,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15400,154002012
122,6075015400,2013,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15400,154002013
123,6075015400,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15400,154002014
124,6075015400,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15400,154002015
125,6075015400,2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15400,154002016
126,6075015400,2017,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15400,154002017
127,6075015400,2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15400,154002018
128,6075015500,2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15500,155002016
129,6075015600,2013,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15600,156002013
130,6075015600,2014,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15600,156002014
131,6075015600,2015,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15600,156002015
132,6075015600,2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15600,156002016
133,6075015600,2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15600,156002017
134,6075015600,2018,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15600,156002018
135,6075015700,2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15700,157002011
136,6075015700,2012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15700,157002012
137,6075015700,2013,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15700,157002013
138,6075015700,2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15700,157002014
139,6075015700,2016,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15700,157002016
140,6075015700,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15700,157002017
