,Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Year,Latitude,Longitude,Geoid
11149,M171914,500 Block Of Bella Vista  Way,San Francisco,CA,94127.0,08/10/2017,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10/08/2022,7.0,West of Twin Peaks,"(37.73479435017299, -122.45130963553264)",2017,37.73479435017299, -122.45130963553264,06075030700
11153,M150901,0 Block Of Stoneyford  Avenue,San Francisco,CA,94112.0,04/22/2015,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,04/20/2018,9.0,Excelsior,"(37.730273277625884, -122.42094309618906)",2015,37.730273277625884, -122.42094309618906,06075025600
11169,M140008,1300 Block Of 40th  Avenue,San Francisco,CA,94122.0,01/14/2014,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,01/11/2017,4.0,Sunset/Parkside,"(37.761635942142334, -122.49963112223557)",2014,37.761635942142334, -122.49963112223557,06075035100
11174,M161515,1400 Block Of South Van Ness  Avenue,San Francisco,CA,94110.0,05/04/2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,07/01/2021,9.0,Mission,"(37.74996747529547, -122.41610010890759)",2016,37.74996747529547, -122.41610010890759,06075020900
11177,M150900,800 Block Of Jamestown  Avenue,San Francisco,CA,94112.0,04/22/2015,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,04/21/2018,10.0,Bayview Hunters Point,"(37.71657200507559, -122.3903070552001)",2015,37.71657200507559, -122.3903070552001,06075061000
11182,M132041,0 Block Of Blake  Street,San Francisco,CA,94118.0,11/21/2013,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11/13/2016,2.0,Presidio Heights,"(37.78283157608327, -122.45121916623198)",2013,37.78283157608327, -122.45121916623198,06075015400
11198,M162331,500 Block Of London  Street,San Francisco,CA,94112.0,07/14/2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,09/08/2021,11.0,Excelsior,"(37.72045774558472, -122.43703098813621)",2016,37.72045774558472, -122.43703098813621,06075026004
11208,M160883,500 Block Of 3rd  Avenue,San Francisco,CA,94118.0,03/07/2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,05/01/2021,1.0,Inner Richmond,"(37.77830433537269, -122.46093289048586)",2016,37.77830433537269, -122.46093289048586,06075045100
11215,M120763,3100 Block Of California  Street,San Francisco,CA,94115.0,07/09/2012,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,07/06/2015,2.0,Presidio Heights,"(37.78729577208804, -122.44608657022209)",2012,37.78729577208804, -122.44608657022209,06075015400
11216,M142452,500 Block Of Fillmore  Street,San Francisco,CA,94117.0,11/07/2014,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10/23/2017,5.0,Hayes Valley,"(37.77442902946173, -122.43098646151154)",2014,37.77442902946173, -122.43098646151154,06075016300
11243,M110947,800 Block Of Hayes  Street,San Francisco,CA,94117.0,08/22/2011,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,08/18/2014,5.0,Hayes Valley,"(37.775885086108474, -122.43036534668177)",2011,37.775885086108474, -122.43036534668177,06075016300
