Id2,Geography,Percent; HOUSING OCCUPANCY - Vacant housing units,Estimate; YEAR STRUCTURE BUILT - Built 2005 or later,Estimate; YEAR STRUCTURE BUILT - Built 2000 to 2004,Estimate; YEAR STRUCTURE BUILT - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2005 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 2000 to 2004,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1970 to 1979,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Moved in 1969 or earlier
6075022704,"Census Tract 227.04, San Francisco County, California",7.2,92,59,160,97,241,79,121,60,695,742,171,354,70,81,71
6075022801,"Census Tract 228.01, San Francisco County, California",3.2,20,92,172,35,25,33,114,60,1149,773,311,336,83,105,37
6075022802,"Census Tract 228.02, San Francisco County, California",7,14,12,15,83,16,65,55,0,409,50,259,130,126,15,42
6075022803,"Census Tract 228.03, San Francisco County, California",8.9,18,99,39,57,106,170,59,40,1072,481,410,313,204,84,21
6075022901,"Census Tract 229.01, San Francisco County, California",7.2,0,95,40,46,42,10,47,57,1196,652,229,362,72,35,73
6075022902,"Census Tract 229.02, San Francisco County, California",1.8,0,23,7,0,38,9,44,109,670,335,123,140,145,121,20
6075022903,"Census Tract 229.03, San Francisco County, California",2,0,10,69,30,86,52,74,102,746,447,280,311,78,0,30
6075023001,"Census Tract 230.01, San Francisco County, California",7.7,11,124,10,16,34,60,264,615,315,306,260,236,151,79,306
6075023003,"Census Tract 230.03, San Francisco County, California",10.6,0,16,103,132,59,58,199,368,292,303,221,218,162,113,80
6075023102,"Census Tract 231.02, San Francisco County, California",11.2,0,32,71,253,360,386,92,95,49,404,275,240,173,61,35
6075023103,"Census Tract 231.03, San Francisco County, California",11.7,0,8,147,154,159,307,277,231,176,540,215,320,185,29,0
6075023200,"Census Tract 232, San Francisco County, California",7.2,0,0,60,52,100,106,148,257,687,465,171,350,100,64,158
6075023300,"Census Tract 233, San Francisco County, California",15.3,6,30,302,16,68,33,25,0,246,64,192,238,100,21,0
6075023400,"Census Tract 234, San Francisco County, California",8.3,0,10,64,0,14,105,190,248,461,268,251,141,160,34,147
6075025100,"Census Tract 251, San Francisco County, California",4.1,10,29,42,65,78,135,126,124,755,482,287,239,194,42,64
6075025200,"Census Tract 252, San Francisco County, California",6.6,0,15,68,163,145,142,167,123,1434,485,471,612,263,145,131
6075025300,"Census Tract 253, San Francisco County, California",5.3,14,55,32,57,60,31,98,91,1498,535,482,401,184,150,81
6075025401,"Census Tract 254.01, San Francisco County, California",3.4,0,26,0,48,110,78,54,9,1052,472,291,292,193,19,63
6075025402,"Census Tract 254.02, San Francisco County, California",5.8,10,0,48,31,48,56,199,194,542,217,206,350,172,80,38
6075025403,"Census Tract 254.03, San Francisco County, California",8.2,0,105,49,21,126,136,237,195,698,473,282,405,173,85,20
6075025500,"Census Tract 255, San Francisco County, California",3.1,0,85,67,23,116,24,368,328,1377,522,520,633,239,208,193
6075025600,"Census Tract 256, San Francisco County, California",2.9,7,0,0,7,298,71,275,378,524,331,218,405,212,231,117
6075025701,"Census Tract 257.01, San Francisco County, California",9.7,0,0,70,25,63,129,135,403,582,202,371,394,180,91,32
6075025702,"Census Tract 257.02, San Francisco County, California",9.4,14,45,0,58,53,95,201,291,526,169,310,332,119,48,184
6075025800,"Census Tract 258, San Francisco County, California",11,0,0,56,22,44,77,63,111,265,155,74,166,79,47,47
6075025900,"Census Tract 259, San Francisco County, California",10.3,41,27,101,53,207,228,442,122,162,210,233,214,207,240,137
6075026001,"Census Tract 260.01, San Francisco County, California",6.3,0,0,38,25,109,171,106,170,974,345,170,598,125,183,72
6075026002,"Census Tract 260.02, San Francisco County, California",5.4,0,9,0,47,22,51,297,118,484,188,144,283,171,104,83
6075026003,"Census Tract 260.03, San Francisco County, California",6.8,0,0,37,88,74,40,98,189,842,210,183,425,268,85,104
6075026004,"Census Tract 260.04, San Francisco County, California",2.6,0,14,0,14,95,112,49,258,669,241,286,285,123,111,133
6075026100,"Census Tract 261, San Francisco County, California",2.1,0,0,69,115,159,28,118,438,869,380,279,496,279,148,176
6075026200,"Census Tract 262, San Francisco County, California",10.5,0,18,91,118,227,144,195,267,924,404,452,514,151,149,105
6075026301,"Census Tract 263.01, San Francisco County, California",8.5,29,0,31,74,28,53,120,161,710,266,220,317,148,112,40
6075026302,"Census Tract 263.02, San Francisco County, California",4.1,0,80,180,140,81,29,219,263,461,370,301,291,193,150,89
6075026303,"Census Tract 263.03, San Francisco County, California",4.5,0,0,53,154,142,263,130,173,371,246,193,294,281,120,94
6075026401,"Census Tract 264.01, San Francisco County, California",2.1,0,37,21,31,74,150,94,392,241,203,244,302,87,132,50
6075026402,"Census Tract 264.02, San Francisco County, California",2,15,32,15,32,191,68,106,338,308,217,246,277,135,175,33
6075026403,"Census Tract 264.03, San Francisco County, California",6.8,41,35,72,97,38,125,251,107,366,301,92,352,160,80,70
6075026404,"Census Tract 264.04, San Francisco County, California",8.4,0,115,90,29,41,143,44,145,94,172,156,157,83,43,31
6075030101,"Census Tract 301.01, San Francisco County, California",7.5,0,0,67,143,252,212,189,87,1202,902,375,413,108,174,18
6075030102,"Census Tract 301.02, San Francisco County, California",7.6,0,69,93,147,644,388,327,122,709,839,492,380,251,207,140
6075030201,"Census Tract 302.01, San Francisco County, California",2.1,0,13,31,76,133,268,325,226,809,778,310,345,257,47,105
6075030202,"Census Tract 302.02, San Francisco County, California",9.5,27,78,79,130,336,319,92,174,971,940,403,361,87,172,33
