,Geoid,num Evictions,geoid_year,Total Population,Total Housing Units,Total; Estimate; Average household size,Year,Median Year Structure Built,Median Year Moved In,Percent with Bachelor's degree,Median rent burden,Evictions per units,Percent Black,Percent White,Percent Asian,Percent Native,"Percent H, PI"
642,6075032602,3,60750326022016,4662.0,1791.0,2.7,2016,1939.0,2010.0,1111.0,31.6,0.0016750418760469012,0.004075504075504076,0.3268983268983269,0.5851565851565852,0.0006435006435006435,0.0
643,6075032602,5,60750326022017,4668.5488,2044.1584,2.5049920000000006,2017,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
644,6075032602,2,60750326022018,4668.5488,2044.1584,2.5049920000000006,2018,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
645,6075032700,2,60750327002011,6883.0,2480.0,2.85,2011,1942.0,2005.0,37.7,24.5,0.0008064516129032258,0.0,0.38631410722068865,0.5635624001162284,0.0,0.0018887113177393578
646,6075032700,4,60750327002012,7022.0,2504.0,2.85,2012,1939.0,2005.0,33.7,26.4,0.001597444089456869,0.0,0.39162631728852176,0.5472799772144689,0.0,0.0011392765593847907
647,6075032700,3,60750327002013,7140.0,2525.0,2.85,2013,1941.0,2007.0,32.7,27.9,0.001188118811881188,0.0,0.3507002801120448,0.5953781512605042,0.0,0.00196078431372549
648,6075032700,2,60750327002014,7130.0,2530.0,2.89,2014,1939.0,2007.0,4.5,26.4,0.0007905138339920949,0.00014025245441795232,0.36605890603085556,0.5741935483870968,0.0,0.0
649,6075032700,7,60750327002015,6950.0,2605.0,2.89,2015,1939.0,2011.0,1754.0,24.4,0.002687140115163148,0.00028776978417266187,0.3541007194244604,0.5764028776978417,0.0,0.0
650,6075032700,2,60750327002016,7113.0,2622.0,2.89,2016,1939.0,2012.0,1759.0,27.2,0.0007627765064836003,0.00014058765640376775,0.3424715309995782,0.5499789118515395,0.0,0.007872908758610993
651,6075032700,8,60750327002017,4668.5488,2044.1584,2.5049920000000006,2017,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
652,6075032700,1,60750327002018,4668.5488,2044.1584,2.5049920000000006,2018,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
653,6075032801,2,60750328012011,4007.0,1490.0,2.99,2011,1942.0,2005.0,24.2,29.4,0.0013422818791946308,0.005240828550037434,0.3351634639381083,0.6271524831544797,0.0,0.0
654,6075032801,2,60750328012013,3941.0,1474.0,2.84,2013,1943.0,2005.0,27.9,32.5,0.0013568521031207597,0.0030449124587668104,0.3443288505455468,0.5942654148693225,0.0015224562293834052,0.0
655,6075032801,7,60750328012014,4111.0,1490.0,2.87,2014,1942.0,2005.0,5.4,33.4,0.004697986577181208,0.00535149598637801,0.2918997810751642,0.6494770128922404,0.001459498905375821,0.0
656,6075032801,4,60750328012015,4171.0,1506.0,2.89,2015,1939.0,2006.0,835.0,34.9,0.0026560424966799467,0.008151522416686647,0.28985854711100456,0.6422920163030449,0.0014385039558858787,0.0
657,6075032801,1,60750328012016,4207.0,1578.0,2.78,2016,1939.0,2009.0,865.0,32.6,0.0006337135614702154,0.007606370335155693,0.3546470168766342,0.5902067981934871,0.001188495364868077,0.0
658,6075032801,5,60750328012017,4668.5488,2044.1584,2.5049920000000006,2017,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
659,6075032801,2,60750328012018,4668.5488,2044.1584,2.5049920000000006,2018,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
660,6075032802,1,60750328022011,3511.0,1462.0,2.72,2011,1944.0,2004.0,32.6,35.5,0.0006839945280437756,0.0367416690401595,0.25719168328111647,0.6519510111079464,0.0,0.0
661,6075032802,2,60750328022012,3787.0,1478.0,2.78,2012,1943.0,2003.0,26.4,32.8,0.0013531799729364006,0.025878003696857672,0.24478479007129655,0.6773171375759176,0.0,0.0
662,6075032802,1,60750328022013,4012.0,1497.0,2.88,2013,1942.0,2005.0,25.9,36.1,0.0006680026720106881,0.02143569292123629,0.23055832502492524,0.6777168494516451,0.0,0.0014955134596211367
663,6075032802,2,60750328022014,3986.0,1526.0,2.86,2014,1943.0,2006.0,5.2,48.9,0.001310615989515072,0.021073758153537382,0.20697441043652784,0.6951831409934772,0.0,0.003261414952333166
664,6075032802,4,60750328022015,4060.0,1539.0,2.82,2015,1943.0,2009.0,904.0,44.1,0.002599090318388564,0.0,0.2061576354679803,0.734975369458128,0.0022167487684729066,0.0019704433497536944
665,6075032802,6,60750328022016,4383.0,1598.0,2.84,2016,1943.0,2010.0,995.0,39.8,0.0037546933667083854,0.029888204426192107,0.2240474560803103,0.6657540497376226,0.0018252338580880675,0.0031941592516541184
666,6075032802,1,60750328022017,4668.5488,2044.1584,2.5049920000000006,2017,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
667,6075032802,1,60750328022018,4668.5488,2044.1584,2.5049920000000006,2018,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
668,6075032901,2,60750329012011,5298.0,1810.0,2.94,2011,1946.0,2005.0,28.0,25.4,0.0011049723756906078,0.023027557568893922,0.3250283125707814,0.5830502076255191,0.0,0.0
669,6075032901,2,60750329012013,5413.0,1799.0,3.04,2013,1943.0,2006.0,26.4,32.8,0.0011117287381878821,0.007943838906336598,0.3199704415296508,0.6164788472196564,0.0,0.0
670,6075032901,5,60750329012014,5582.0,1855.0,3.07,2014,1942.0,2008.0,5.0,28.7,0.0026954177897574125,0.00841992117520602,0.3222859190254389,0.5906485130777499,0.0,0.0012540308133285561
671,6075032901,6,60750329012015,5608.0,1852.0,3.1,2015,1940.0,2010.0,1292.0,23.4,0.0032397408207343412,0.008559201141226819,0.3104493580599144,0.5957560627674751,0.0,0.002674750356633381
672,6075032901,1,60750329012016,5757.0,1874.0,3.15,2016,1942.0,2011.0,1298.0,27.8,0.0005336179295624333,0.008511377453534827,0.3117943373284697,0.5891957616814313,0.0,0.007295466388744137
673,6075032901,2,60750329012017,4668.5488,2044.1584,2.5049920000000006,2017,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
674,6075032902,1,60750329022013,3780.0,1398.0,2.88,2013,1945.0,2006.0,28.9,26.1,0.000715307582260372,0.013492063492063493,0.26587301587301587,0.6706349206349206,0.005291005291005291,0.0
675,6075032902,3,60750329022014,3995.0,1424.0,2.93,2014,1945.0,2008.0,5.3,20.0,0.002106741573033708,0.016770963704630788,0.3108886107634543,0.6100125156445557,0.004005006257822278,0.0
676,6075032902,1,60750329022015,4264.0,1435.0,3.16,2015,1945.0,2009.0,960.0,25.3,0.0006968641114982578,0.012898686679174483,0.23428705440900563,0.6969981238273921,0.0,0.0
677,6075032902,3,60750329022016,4463.0,1439.0,3.21,2016,1946.0,2010.0,1147.0,26.0,0.0020847810979847115,0.01434012995742774,0.2628276943759803,0.6739861079991037,0.0,0.0
678,6075032902,1,60750329022017,4668.5488,2044.1584,2.5049920000000006,2017,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
679,6075032902,2,60750329022018,4668.5488,2044.1584,2.5049920000000006,2018,1944.264423076923,2006.5289389067525,508.8582399999993,28.240319999999972,0.0012669595937409496,0.043885500350772814,0.5149930959273683,0.3350392738745711,0.0034737989672508087,0.0031715208803215255
680,6075033000,1,60750330002012,8307.0,2834.0,3.05,2012,1939.0,2005.0,36.4,32.8,0.00035285815102328866,0.0061394005055976884,0.4575659082701336,0.4650294931985073,0.0016853256289876008,0.0
