Id2,Geography,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010 or later,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1970 to 1979,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1969 or earlier
6075016300,"Census Tract 163, San Francisco County, California",7.6,0,29,269,24,144,177,41,119,1394,609,755,544,66,55,0
6075016400,"Census Tract 164, San Francisco County, California",5.3,11,70,18,136,52,42,131,125,1341,593,845,220,82,60,23
6075016500,"Census Tract 165, San Francisco County, California",2.9,0,29,44,53,230,194,127,76,1765,757,1147,237,140,94,69
6075016600,"Census Tract 166, San Francisco County, California",9,31,0,87,15,57,84,117,175,2106,906,868,394,213,37,14
6075016700,"Census Tract 167, San Francisco County, California",4.9,0,35,94,63,95,169,23,190,1881,807,953,444,105,79,36
6075016801,"Census Tract 168.01, San Francisco County, California",5.3,0,94,21,48,41,91,262,89,1101,383,848,184,205,8,27
6075016802,"Census Tract 168.02, San Francisco County, California",19.2,0,223,125,68,50,124,100,88,1191,427,738,244,99,72,10
6075016900,"Census Tract 169, San Francisco County, California",10.3,0,11,37,71,150,138,74,99,1208,402,624,358,169,31,19
6075017000,"Census Tract 170, San Francisco County, California",8.9,0,0,88,112,298,221,270,98,1283,607,882,317,188,84,80
6075017101,"Census Tract 171.01, San Francisco County, California",10.9,0,39,12,13,162,169,91,107,1373,591,621,225,179,117,18
6075017102,"Census Tract 171.02, San Francisco County, California",7.1,9,18,14,0,52,41,142,237,1344,610,694,156,144,97,25
6075017601,"Census Tract 176.01, San Francisco County, California",21.5,202,1526,716,87,201,89,250,239,1631,1452,2052,346,11,16,0
6075017700,"Census Tract 177, San Francisco County, California",13.1,0,82,70,24,22,18,91,62,470,191,304,117,43,19,55
6075017801,"Census Tract 178.01, San Francisco County, California",10.6,18,564,221,727,679,89,16,0,177,457,1260,372,123,15,0
6075017802,"Census Tract 178.02, San Francisco County, California",21.1,0,735,306,204,48,82,75,78,848,687,742,325,95,26,0
6075017902,"Census Tract 179.02, San Francisco County, California",25.2,0,10,54,75,245,64,65,158,169,192,403,33,0,0,0
6075018000,"Census Tract 180, San Francisco County, California",14,25,840,269,27,0,40,9,48,315,460,691,124,67,11,0
6075020100,"Census Tract 201, San Francisco County, California",11.7,36,352,301,152,84,136,404,94,1516,776,1452,371,37,41,38
6075020200,"Census Tract 202, San Francisco County, California",8.3,0,247,147,341,70,200,346,76,1959,918,1326,517,236,93,16
6075020300,"Census Tract 203, San Francisco County, California",9.1,0,51,84,128,65,162,89,146,1088,429,591,364,163,86,15
6075020401,"Census Tract 204.01, San Francisco County, California",8.4,8,20,32,36,135,219,254,262,886,409,716,411,133,27,0
6075020402,"Census Tract 204.02, San Francisco County, California",6.2,0,56,106,155,710,779,544,82,210,655,900,481,173,138,130
6075020500,"Census Tract 205, San Francisco County, California",4.3,0,12,20,54,25,95,57,54,1124,335,481,304,153,84,22
6075020600,"Census Tract 206, San Francisco County, California",11.9,15,13,88,110,337,272,169,136,1791,460,1251,553,210,74,35
6075020700,"Census Tract 207, San Francisco County, California",3,14,130,89,46,112,206,142,138,1977,983,997,380,244,121,42
6075020800,"Census Tract 208, San Francisco County, California",9,0,137,148,70,257,366,137,107,1531,766,1086,541,72,27,14
6075020900,"Census Tract 209, San Francisco County, California",8.4,70,10,147,20,108,105,123,83,1219,516,685,308,128,61,28
6075021000,"Census Tract 210, San Francisco County, California",3.6,0,0,36,123,49,220,154,97,1536,705,783,250,134,201,62
6075021100,"Census Tract 211, San Francisco County, California",8.3,0,61,51,49,119,101,74,63,1523,481,671,381,105,161,73
6075021200,"Census Tract 212, San Francisco County, California",7.9,0,33,18,46,135,186,170,88,885,312,554,291,139,78,64
6075021300,"Census Tract 213, San Francisco County, California",8.2,20,30,83,54,153,73,76,32,764,292,458,243,107,39,41
6075021400,"Census Tract 214, San Francisco County, California",8.6,8,51,0,30,34,225,83,131,1254,441,616,320,126,110,46
6075021500,"Census Tract 215, San Francisco County, California",4.5,0,58,94,67,281,112,224,78,1798,583,1166,401,228,212,0
6075021600,"Census Tract 216, San Francisco County, California",6.5,11,12,71,254,757,364,297,163,299,568,588,414,337,82,94
6075021700,"Census Tract 217, San Francisco County, California",3,42,12,114,140,609,386,186,44,409,339,542,269,321,288,125
6075021800,"Census Tract 218, San Francisco County, California",2.7,11,41,9,79,87,56,205,155,1284,504,683,265,246,100,77
6075022600,"Census Tract 226, San Francisco County, California",7.9,50,421,117,45,29,0,37,0,250,369,426,50,0,24,5
6075022702,"Census Tract 227.02, San Francisco County, California",7.1,0,33,52,101,65,63,61,35,654,264,470,122,64,26,42
6075022704,"Census Tract 227.04, San Francisco County, California",4.9,9,196,106,44,287,44,92,110,814,459,684,271,86,51,68
6075022801,"Census Tract 228.01, San Francisco County, California",4.1,8,396,236,31,45,39,81,48,1117,538,943,233,102,33,69
6075022802,"Census Tract 228.02, San Francisco County, California",12.2,0,20,12,63,23,65,28,21,431,89,281,71,70,29,42
6075022803,"Census Tract 228.03, San Francisco County, California",6.4,0,135,37,30,84,131,43,38,1193,391,547,453,106,50,36
6075022901,"Census Tract 229.01, San Francisco County, California",8,0,29,81,126,9,30,74,30,1175,370,598,309,38,35,80
6075022902,"Census Tract 229.02, San Francisco County, California",9.3,0,40,19,12,19,38,39,81,647,142,391,137,77,35,30
6075022903,"Census Tract 229.03, San Francisco County, California",4.1,0,25,80,57,102,87,21,73,717,194,458,253,107,57,45
6075023001,"Census Tract 230.01, San Francisco County, California",6.7,0,71,11,15,60,37,282,498,456,180,349,410,143,77,175
6075023003,"Census Tract 230.03, San Francisco County, California",5.9,0,13,49,196,0,40,268,418,227,115,467,230,131,78,119
6075023102,"Census Tract 231.02, San Francisco County, California",2.4,0,107,175,286,420,168,154,137,119,276,657,201,137,191,66
6075023103,"Census Tract 231.03, San Francisco County, California",7.4,0,52,66,77,166,405,152,160,47,213,586,125,111,0,7
6075023200,"Census Tract 232, San Francisco County, California",8.4,0,80,8,48,29,102,188,252,632,304,398,219,125,66,115
6075023300,"Census Tract 233, San Francisco County, California",16.2,98,285,250,26,14,43,69,53,185,362,208,206,45,15,21
6075023400,"Census Tract 234, San Francisco County, California",13.4,0,68,95,9,61,73,93,258,418,157,388,197,40,67,82
6075025100,"Census Tract 251, San Francisco County, California",2.7,0,48,31,92,196,211,122,129,560,188,578,215,239,81,50
6075025200,"Census Tract 252, San Francisco County, California",5,43,12,74,24,112,110,168,205,1522,570,671,483,182,215,36
6075025300,"Census Tract 253, San Francisco County, California",9.8,0,103,126,63,68,58,179,52,1313,418,729,291,130,125,77
6075025401,"Census Tract 254.01, San Francisco County, California",12.7,0,38,56,36,60,55,63,226,879,367,469,281,65,31,21
6075025402,"Census Tract 254.02, San Francisco County, California",2.2,0,8,77,40,51,39,167,208,602,304,419,234,97,60,52
6075025403,"Census Tract 254.03, San Francisco County, California",6,12,167,56,113,139,101,83,279,622,284,672,187,114,174,47
6075025500,"Census Tract 255, San Francisco County, California",1.1,0,97,65,63,81,80,103,429,1713,341,1015,416,380,282,168
6075025600,"Census Tract 256, San Francisco County, California",6.1,28,12,10,8,156,161,244,562,544,193,651,343,138,200,94
6075025701,"Census Tract 257.01, San Francisco County, California",2.3,15,7,33,14,102,83,218,580,379,133,572,257,147,154,135
6075025702,"Census Tract 257.02, San Francisco County, California",7.8,0,28,8,50,211,155,136,245,470,163,590,165,127,78,79
6075025800,"Census Tract 258, San Francisco County, California",6.4,16,20,5,7,50,98,77,164,223,144,197,117,58,51,51
6075025900,"Census Tract 259, San Francisco County, California",6.1,0,121,88,85,98,307,521,110,136,327,386,244,98,141,181
6075026001,"Census Tract 260.01, San Francisco County, California",11.6,0,60,8,35,57,136,158,190,1009,180,599,362,128,103,89
6075026002,"Census Tract 260.02, San Francisco County, California",5.2,0,24,37,29,22,96,346,74,397,145,312,216,110,87,102
6075026003,"Census Tract 260.03, San Francisco County, California",4.4,2,22,8,82,112,77,217,300,612,211,531,219,175,150,83
6075026004,"Census Tract 260.04, San Francisco County, California",2.2,0,0,0,30,132,106,122,181,689,174,647,164,54,134,59
6075026100,"Census Tract 261, San Francisco County, California",0.5,0,116,128,65,35,103,192,354,1004,239,786,412,163,200,187
6075026200,"Census Tract 262, San Francisco County, California",5.5,0,17,77,149,167,268,224,230,926,277,688,418,240,232,89
6075026301,"Census Tract 263.01, San Francisco County, California",1.5,0,101,48,14,49,73,95,117,884,204,550,247,170,105,84
6075026302,"Census Tract 263.02, San Francisco County, California",2.3,0,19,175,86,99,104,266,283,505,260,464,311,204,191,72
6075026303,"Census Tract 263.03, San Francisco County, California",4.7,0,0,0,151,153,253,258,194,318,111,451,322,192,137,51
6075026401,"Census Tract 264.01, San Francisco County, California",0,0,38,74,49,112,129,164,293,243,178,420,176,154,113,61
6075026402,"Census Tract 264.02, San Francisco County, California",2.6,0,34,13,123,186,130,221,231,274,142,455,225,114,166,78
6075026403,"Census Tract 264.03, San Francisco County, California",8.7,0,27,0,89,111,170,344,220,205,142,407,258,120,79,58
6075026404,"Census Tract 264.04, San Francisco County, California",11.2,5,104,112,19,51,134,79,172,64,88,297,111,121,24,16
6075030101,"Census Tract 301.01, San Francisco County, California",3,0,23,89,47,87,163,129,159,1472,578,919,305,130,102,69
6075030102,"Census Tract 301.02, San Francisco County, California",5,0,22,120,130,450,672,277,72,602,652,870,257,114,244,90
6075030201,"Census Tract 302.01, San Francisco County, California",4.5,0,34,22,51,131,216,272,316,915,640,549,350,127,43,160
6075030202,"Census Tract 302.02, San Francisco County, California",6.9,14,78,54,96,282,248,258,202,972,673,817,342,148,71,0
6075030301,"Census Tract 303.01, San Francisco County, California",9.5,0,0,15,273,263,310,382,391,940,478,854,380,363,117,137
6075030302,"Census Tract 303.02, San Francisco County, California",1.2,0,0,17,62,22,129,157,427,616,252,407,311,226,129,88
6075030400,"Census Tract 304, San Francisco County, California",4.3,0,71,41,42,112,106,276,250,1151,298,688,383,226,199,166
6075030500,"Census Tract 305, San Francisco County, California",7,0,18,27,32,59,145,681,62,47,188,302,180,120,77,129
6075030600,"Census Tract 306, San Francisco County, California",0,0,0,7,18,26,28,81,152,598,77,288,185,147,120,93
6075030700,"Census Tract 307, San Francisco County, California",5.2,0,29,0,9,152,436,905,581,692,347,877,602,350,242,240
6075030800,"Census Tract 308, San Francisco County, California",10.5,0,35,36,107,102,17,116,123,1846,324,499,507,413,297,92
6075030900,"Census Tract 309, San Francisco County, California",5.7,9,0,18,7,35,77,426,327,1581,141,847,461,143,369,377
6075031000,"Census Tract 310, San Francisco County, California",2.9,21,14,44,190,48,11,118,19,899,266,384,194,199,170,111
6075031100,"Census Tract 311, San Francisco County, California",4.7,0,57,46,310,176,316,296,281,1163,390,981,363,280,253,255
6075031201,"Census Tract 312.01, San Francisco County, California",4.9,28,45,64,119,205,124,125,196,1058,391,546,399,378,85,69
6075031202,"Census Tract 312.02, San Francisco County, California",3,0,6,13,49,12,80,91,181,479,147,256,185,117,49,130
6075031301,"Census Tract 313.01, San Francisco County, California",8.3,0,14,31,0,56,119,269,463,453,255,395,214,165,93,166
6075031302,"Census Tract 313.02, San Francisco County, California",1.7,9,422,18,61,35,86,321,766,232,435,815,274,131,105,156
6075031400,"Census Tract 314, San Francisco County, California",6.8,0,93,86,85,97,283,251,506,586,214,839,286,296,96,121
6075032601,"Census Tract 326.01, San Francisco County, California",3.6,0,0,118,98,152,78,119,373,897,384,713,347,126,164,35
6075032602,"Census Tract 326.02, San Francisco County, California",7.2,0,39,36,12,12,92,231,177,1184,293,648,316,180,111,106
6075032700,"Census Tract 327, San Francisco County, California",2.6,0,0,0,11,143,193,178,671,1334,448,811,578,142,338,147
6075032801,"Census Tract 328.01, San Francisco County, California",7.3,0,0,72,49,26,41,272,379,651,201,500,321,84,211,64
