Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075026402,"Census Tract 264.02, San Francisco County, California",4331,782,568,46,2478,0
6075026403,"Census Tract 264.03, San Francisco County, California",3899,615,128,73,2831,0
6075026404,"Census Tract 264.04, San Francisco County, California",2646,295,475,4,1220,91
6075030101,"Census Tract 301.01, San Francisco County, California",4787,3253,80,0,1166,0
6075030102,"Census Tract 301.02, San Francisco County, California",4998,3119,99,65,1264,12
6075030201,"Census Tract 302.01, San Francisco County, California",4202,2520,42,0,1457,37
6075030202,"Census Tract 302.02, San Francisco County, California",4351,3034,49,0,882,0
6075030301,"Census Tract 303.01, San Francisco County, California",5950,3162,52,0,2447,0
6075030302,"Census Tract 303.02, San Francisco County, California",3732,1959,29,29,1498,0
6075030400,"Census Tract 304, San Francisco County, California",5294,2898,35,6,1918,0
6075030500,"Census Tract 305, San Francisco County, California",3137,1796,308,34,640,1
6075030600,"Census Tract 306, San Francisco County, California",2112,1382,34,0,568,0
6075030700,"Census Tract 307, San Francisco County, California",6672,3874,105,0,1788,0
6075030800,"Census Tract 308, San Francisco County, California",5260,2721,60,0,1911,22
6075030900,"Census Tract 309, San Francisco County, California",6317,3170,188,0,2609,43
6075031000,"Census Tract 310, San Francisco County, California",3413,1922,209,0,921,0
6075031100,"Census Tract 311, San Francisco County, California",6672,3701,488,15,1913,0
6075031201,"Census Tract 312.01, San Francisco County, California",6953,1622,428,0,4242,2
6075031202,"Census Tract 312.02, San Francisco County, California",3282,735,519,5,1811,13
6075031301,"Census Tract 313.01, San Francisco County, California",4331,1101,592,94,1896,0
6075031302,"Census Tract 313.02, San Francisco County, California",6005,1256,1006,0,2959,0
6075031400,"Census Tract 314, San Francisco County, California",6729,2391,903,7,2820,0
6075032601,"Census Tract 326.01, San Francisco County, California",4543,1613,20,0,2614,0
6075032602,"Census Tract 326.02, San Francisco County, California",4432,1721,18,4,2546,0
6075032700,"Census Tract 327, San Francisco County, California",7022,2750,0,0,3843,8
6075032801,"Census Tract 328.01, San Francisco County, California",4052,1248,20,0,2608,0
6075032802,"Census Tract 328.02, San Francisco County, California",3787,927,98,0,2565,0
6075032901,"Census Tract 329.01, San Francisco County, California",5606,1626,35,0,3640,0
6075032902,"Census Tract 329.02, San Francisco County, California",3691,931,15,26,2529,0
6075033000,"Census Tract 330, San Francisco County, California",8307,3801,51,14,3863,0
6075033100,"Census Tract 331, San Francisco County, California",4180,1622,0,0,2453,0
6075033201,"Census Tract 332.01, San Francisco County, California",3725,2121,420,12,678,0
6075033203,"Census Tract 332.03, San Francisco County, California",3845,1787,100,0,1393,72
6075033204,"Census Tract 332.04, San Francisco County, California",3830,1668,384,115,1159,0
6075035100,"Census Tract 351, San Francisco County, California",8074,2657,48,0,4846,28
6075035201,"Census Tract 352.01, San Francisco County, California",5021,1918,8,0,2766,132
6075035202,"Census Tract 352.02, San Francisco County, California",4534,2216,29,19,1876,32
6075035300,"Census Tract 353, San Francisco County, California",7890,2222,0,0,5238,0
6075035400,"Census Tract 354, San Francisco County, California",6191,2650,121,0,3011,0
6075040100,"Census Tract 401, San Francisco County, California",4234,2369,295,86,1189,0
6075040200,"Census Tract 402, San Francisco County, California",5564,2566,106,0,2665,0
6075042601,"Census Tract 426.01, San Francisco County, California",4047,1777,19,0,1747,13
6075042602,"Census Tract 426.02, San Francisco County, California",3631,1978,128,20,1092,185
6075042700,"Census Tract 427, San Francisco County, California",5978,3434,126,18,1995,69
6075042800,"Census Tract 428, San Francisco County, California",2204,1592,12,0,349,0
6075045100,"Census Tract 451, San Francisco County, California",4820,2263,113,15,2122,18
6075045200,"Census Tract 452, San Francisco County, California",6819,3290,18,31,2920,147
6075047600,"Census Tract 476, San Francisco County, California",5508,2366,16,22,2730,0
6075047701,"Census Tract 477.01, San Francisco County, California",4136,1430,77,10,2391,67
6075047702,"Census Tract 477.02, San Francisco County, California",4152,1717,56,7,2168,0
6075047801,"Census Tract 478.01, San Francisco County, California",4250,1401,52,0,2417,5
6075047802,"Census Tract 478.02, San Francisco County, California",4140,1488,0,0,2359,0
6075047901,"Census Tract 479.01, San Francisco County, California",6775,3302,96,47,2771,22
6075047902,"Census Tract 479.02, San Francisco County, California",3813,1911,30,0,1490,0
6075060100,"Census Tract 601, San Francisco County, California",2879,2385,47,31,298,0
6075060400,"Census Tract 604, San Francisco County, California",2144,1394,86,0,363,0
6075060502,"Census Tract 605.02, San Francisco County, California",2863,436,914,44,712,331
6075060700,"Census Tract 607, San Francisco County, California",8372,3897,128,0,3707,0
6075061000,"Census Tract 610, San Francisco County, California",3888,865,743,12,1682,146
6075061100,"Census Tract 611, San Francisco County, California",4543,286,11,0,4076,31
6075061200,"Census Tract 612, San Francisco County, California",3713,858,907,61,894,0
6075061400,"Census Tract 614, San Francisco County, California",5301,3448,350,296,623,174
6075061500,"Census Tract 615, San Francisco County, California",11083,6769,261,66,3422,25
6075980200,"Census Tract 9802, San Francisco County, California",308,213,20,0,44,0
6075980300,"Census Tract 9803, San Francisco County, California",27,16,0,0,0,0
6075980401,"Census Tract 9804.01, San Francisco County, California",0,0,0,0,0,0
6075980501,"Census Tract 9805.01, San Francisco County, California",646,106,131,0,292,44
6075980600,"Census Tract 9806, San Francisco County, California",288,82,169,0,28,0
6075980900,"Census Tract 9809, San Francisco County, California",337,193,36,0,98,4
6075990100,"Census Tract 9901, San Francisco County, California",0,0,0,0,0,0
