Id2,Geography,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2014 or later,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2010 to 2013,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 2000 to 2009,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1990 to 1999,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1980 to 1989,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1970 to 1979,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1960 to 1969,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1950 to 1959,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1940 to 1949,Estimate; YEAR STRUCTURE BUILT - Total housing units - Built 1939 or earlier,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier
6075020401,"Census Tract 204.01, San Francisco County, California",0,8,46,63,71,131,207,215,87,1003,144,524,503,226,169,29
6075020402,"Census Tract 204.02, San Francisco County, California",0,0,45,72,162,619,1042,326,112,353,179,963,753,250,78,278
6075020500,"Census Tract 205, San Francisco County, California",0,0,24,66,58,27,109,43,37,1083,50,443,433,265,118,92
6075020600,"Census Tract 206, San Francisco County, California",0,12,16,102,71,215,372,174,66,1895,113,862,890,538,242,84
6075020700,"Census Tract 207, San Francisco County, California",0,38,105,72,39,88,189,134,154,2132,72,1356,656,351,161,60
6075020800,"Census Tract 208, San Francisco County, California",15,0,175,155,88,247,317,117,79,1686,137,1009,869,626,91,114
6075020900,"Census Tract 209, San Francisco County, California",0,89,49,119,37,65,185,126,42,1251,99,719,608,252,95,121
6075021000,"Census Tract 210, San Francisco County, California",0,0,24,0,120,115,331,170,55,1439,88,642,717,240,259,219
6075021100,"Census Tract 211, San Francisco County, California",0,0,42,61,15,99,145,94,67,1590,116,647,513,305,124,214
6075021200,"Census Tract 212, San Francisco County, California",0,0,30,21,40,132,123,181,21,1015,45,360,463,259,125,169
6075021300,"Census Tract 213, San Francisco County, California",0,23,61,89,39,161,107,79,26,712,44,421,389,205,92,76
6075021400,"Census Tract 214, San Francisco County, California",0,17,34,11,20,36,132,59,33,1481,82,599,474,224,144,143
6075021500,"Census Tract 215, San Francisco County, California",0,14,130,33,54,376,176,138,102,1674,174,863,867,299,284,93
6075021600,"Census Tract 216, San Francisco County, California",0,14,28,125,238,668,409,246,185,322,147,637,503,418,308,158
6075021700,"Census Tract 217, San Francisco County, California",0,48,0,106,137,581,350,159,50,496,35,511,509,228,198,358
6075021800,"Census Tract 218, San Francisco County, California",0,10,31,22,84,131,106,176,131,1221,86,472,560,330,233,186
6075022600,"Census Tract 226, San Francisco County, California",18,84,374,179,54,11,0,18,9,259,66,529,278,47,0,29
6075022702,"Census Tract 227.02, San Francisco County, California",0,0,44,54,111,64,83,54,47,631,65,336,380,104,70,48
6075022704,"Census Tract 227.04, San Francisco County, California",29,10,243,126,95,134,38,109,104,902,38,594,544,280,71,109
6075022801,"Census Tract 228.01, San Francisco County, California",0,8,416,240,18,58,51,25,24,1190,42,688,794,255,84,84
6075022802,"Census Tract 228.02, San Francisco County, California",0,0,11,10,75,49,59,46,29,412,6,183,258,64,95,66
6075022803,"Census Tract 228.03, San Francisco County, California",0,7,224,66,30,131,46,71,51,1008,57,563,467,307,54,122
6075022901,"Census Tract 229.01, San Francisco County, California",0,0,98,80,105,32,99,90,31,1075,70,464,562,318,30,96
6075022902,"Census Tract 229.02, San Francisco County, California",0,0,17,14,12,14,37,39,67,694,10,266,270,154,65,67
6075022903,"Census Tract 229.03, San Francisco County, California",0,0,34,40,74,47,92,32,42,871,128,245,301,287,95,101
