Id2,Geography,Total; Estimate; Bachelor's degree
6075013400,"Census Tract 134, San Francisco County, California",1299
6075013500,"Census Tract 135, San Francisco County, California",968
6075015100,"Census Tract 151, San Francisco County, California",858
6075015200,"Census Tract 152, San Francisco County, California",1430
6075015300,"Census Tract 153, San Francisco County, California",593
6075015400,"Census Tract 154, San Francisco County, California",1551
6075015500,"Census Tract 155, San Francisco County, California",1202
6075015600,"Census Tract 156, San Francisco County, California",1010
6075015700,"Census Tract 157, San Francisco County, California",2033
6075015801,"Census Tract 158.01, San Francisco County, California",954
6075015802,"Census Tract 158.02, San Francisco County, California",1161
6075015900,"Census Tract 159, San Francisco County, California",1069
6075016000,"Census Tract 160, San Francisco County, California",751
6075016100,"Census Tract 161, San Francisco County, California",1082
6075016200,"Census Tract 162, San Francisco County, California",1063
6075016300,"Census Tract 163, San Francisco County, California",1669
6075016400,"Census Tract 164, San Francisco County, California",1569
6075016500,"Census Tract 165, San Francisco County, California",1768
6075016600,"Census Tract 166, San Francisco County, California",2339
6075016700,"Census Tract 167, San Francisco County, California",2055
6075016801,"Census Tract 168.01, San Francisco County, California",1391
6075016802,"Census Tract 168.02, San Francisco County, California",1020
6075016900,"Census Tract 169, San Francisco County, California",1096
6075017000,"Census Tract 170, San Francisco County, California",1455
6075017101,"Census Tract 171.01, San Francisco County, California",1257
6075017102,"Census Tract 171.02, San Francisco County, California",1200
6075017601,"Census Tract 176.01, San Francisco County, California",1554
6075017700,"Census Tract 177, San Francisco County, California",476
6075017801,"Census Tract 178.01, San Francisco County, California",687
6075017802,"Census Tract 178.02, San Francisco County, California",1100
6075017902,"Census Tract 179.02, San Francisco County, California",540
6075018000,"Census Tract 180, San Francisco County, California",940
6075020100,"Census Tract 201, San Francisco County, California",1203
6075020200,"Census Tract 202, San Francisco County, California",2122
6075020300,"Census Tract 203, San Francisco County, California",1118
6075020401,"Census Tract 204.01, San Francisco County, California",1135
6075020402,"Census Tract 204.02, San Francisco County, California",1391
6075020500,"Census Tract 205, San Francisco County, California",720
6075020600,"Census Tract 206, San Francisco County, California",1337
6075020700,"Census Tract 207, San Francisco County, California",2393
6075020800,"Census Tract 208, San Francisco County, California",1547
6075020900,"Census Tract 209, San Francisco County, California",1005
6075021000,"Census Tract 210, San Francisco County, California",1976
6075021100,"Census Tract 211, San Francisco County, California",1334
6075021200,"Census Tract 212, San Francisco County, California",932
6075021300,"Census Tract 213, San Francisco County, California",755
6075021400,"Census Tract 214, San Francisco County, California",1187
6075021500,"Census Tract 215, San Francisco County, California",1641
6075021600,"Census Tract 216, San Francisco County, California",1078
6075021700,"Census Tract 217, San Francisco County, California",1154
6075021800,"Census Tract 218, San Francisco County, California",1115
6075022600,"Census Tract 226, San Francisco County, California",774
6075022702,"Census Tract 227.02, San Francisco County, California",568
6075022704,"Census Tract 227.04, San Francisco County, California",1186
6075022801,"Census Tract 228.01, San Francisco County, California",1202
6075022802,"Census Tract 228.02, San Francisco County, California",500
6075022803,"Census Tract 228.03, San Francisco County, California",982
6075022901,"Census Tract 229.01, San Francisco County, California",787
6075022902,"Census Tract 229.02, San Francisco County, California",676
6075022903,"Census Tract 229.03, San Francisco County, California",697
6075023001,"Census Tract 230.01, San Francisco County, California",558
6075023003,"Census Tract 230.03, San Francisco County, California",620
6075023102,"Census Tract 231.02, San Francisco County, California",367
6075023103,"Census Tract 231.03, San Francisco County, California",157
6075023200,"Census Tract 232, San Francisco County, California",326
6075023300,"Census Tract 233, San Francisco County, California",455
6075023400,"Census Tract 234, San Francisco County, California",208
6075025100,"Census Tract 251, San Francisco County, California",1081
6075025200,"Census Tract 252, San Francisco County, California",1550
6075025300,"Census Tract 253, San Francisco County, California",1187
6075025401,"Census Tract 254.01, San Francisco County, California",720
6075025402,"Census Tract 254.02, San Francisco County, California",883
6075025403,"Census Tract 254.03, San Francisco County, California",757
6075025500,"Census Tract 255, San Francisco County, California",1580
6075025600,"Census Tract 256, San Francisco County, California",888
6075025701,"Census Tract 257.01, San Francisco County, California",724
6075025702,"Census Tract 257.02, San Francisco County, California",389
6075025800,"Census Tract 258, San Francisco County, California",310
6075025900,"Census Tract 259, San Francisco County, California",775
6075026001,"Census Tract 260.01, San Francisco County, California",619
6075026002,"Census Tract 260.02, San Francisco County, California",554
6075026003,"Census Tract 260.03, San Francisco County, California",643
6075026004,"Census Tract 260.04, San Francisco County, California",809
6075026100,"Census Tract 261, San Francisco County, California",1066
6075026200,"Census Tract 262, San Francisco County, California",1066
6075026301,"Census Tract 263.01, San Francisco County, California",927
6075026302,"Census Tract 263.02, San Francisco County, California",863
6075026303,"Census Tract 263.03, San Francisco County, California",433
6075026401,"Census Tract 264.01, San Francisco County, California",332
6075026402,"Census Tract 264.02, San Francisco County, California",792
6075026403,"Census Tract 264.03, San Francisco County, California",499
6075026404,"Census Tract 264.04, San Francisco County, California",142
6075030101,"Census Tract 301.01, San Francisco County, California",1684
6075030102,"Census Tract 301.02, San Francisco County, California",1516
6075030201,"Census Tract 302.01, San Francisco County, California",1449
6075030202,"Census Tract 302.02, San Francisco County, California",1552
6075030301,"Census Tract 303.01, San Francisco County, California",1743
6075030302,"Census Tract 303.02, San Francisco County, California",1404
6075030400,"Census Tract 304, San Francisco County, California",1143
6075030500,"Census Tract 305, San Francisco County, California",758
6075030600,"Census Tract 306, San Francisco County, California",512
6075030700,"Census Tract 307, San Francisco County, California",1754
6075030800,"Census Tract 308, San Francisco County, California",1978
6075030900,"Census Tract 309, San Francisco County, California",1854
6075031000,"Census Tract 310, San Francisco County, California",1093
6075031100,"Census Tract 311, San Francisco County, California",2057
6075031201,"Census Tract 312.01, San Francisco County, California",1197
6075031202,"Census Tract 312.02, San Francisco County, California",352
6075031301,"Census Tract 313.01, San Francisco County, California",773
6075031302,"Census Tract 313.02, San Francisco County, California",1032
6075031400,"Census Tract 314, San Francisco County, California",734
6075032601,"Census Tract 326.01, San Francisco County, California",1232
6075032602,"Census Tract 326.02, San Francisco County, California",1050
6075032700,"Census Tract 327, San Francisco County, California",1754
6075032801,"Census Tract 328.01, San Francisco County, California",835
6075032802,"Census Tract 328.02, San Francisco County, California",904
6075032901,"Census Tract 329.01, San Francisco County, California",1292
6075032902,"Census Tract 329.02, San Francisco County, California",960
6075033000,"Census Tract 330, San Francisco County, California",1816
6075033100,"Census Tract 331, San Francisco County, California",1283
6075033201,"Census Tract 332.01, San Francisco County, California",286
6075033203,"Census Tract 332.03, San Francisco County, California",1035
6075033204,"Census Tract 332.04, San Francisco County, California",756
6075035100,"Census Tract 351, San Francisco County, California",2260
6075035201,"Census Tract 352.01, San Francisco County, California",1252
6075035202,"Census Tract 352.02, San Francisco County, California",1068
6075035300,"Census Tract 353, San Francisco County, California",1533
6075035400,"Census Tract 354, San Francisco County, California",1501
6075040100,"Census Tract 401, San Francisco County, California",1479
6075040200,"Census Tract 402, San Francisco County, California",1572
6075042601,"Census Tract 426.01, San Francisco County, California",941
6075042602,"Census Tract 426.02, San Francisco County, California",981
6075042700,"Census Tract 427, San Francisco County, California",1146
6075042800,"Census Tract 428, San Francisco County, California",686
6075045100,"Census Tract 451, San Francisco County, California",1412
6075045200,"Census Tract 452, San Francisco County, California",2271
6075047600,"Census Tract 476, San Francisco County, California",1703
6075047701,"Census Tract 477.01, San Francisco County, California",1021
6075047702,"Census Tract 477.02, San Francisco County, California",1117
6075047801,"Census Tract 478.01, San Francisco County, California",1122
6075047802,"Census Tract 478.02, San Francisco County, California",867
6075047901,"Census Tract 479.01, San Francisco County, California",1694
6075047902,"Census Tract 479.02, San Francisco County, California",982
6075060100,"Census Tract 601, San Francisco County, California",1214
6075060400,"Census Tract 604, San Francisco County, California",475
6075060502,"Census Tract 605.02, San Francisco County, California",179
6075060700,"Census Tract 607, San Francisco County, California",2950
6075061000,"Census Tract 610, San Francisco County, California",988
6075061100,"Census Tract 611, San Francisco County, California",191
6075061200,"Census Tract 612, San Francisco County, California",425
6075061400,"Census Tract 614, San Francisco County, California",1511
6075061500,"Census Tract 615, San Francisco County, California",4264
6075980200,"Census Tract 9802, San Francisco County, California",77
6075980300,"Census Tract 9803, San Francisco County, California",61
6075980401,"Census Tract 9804.01, San Francisco County, California",0
6075980501,"Census Tract 9805.01, San Francisco County, California",129
6075980600,"Census Tract 9806, San Francisco County, California",73
6075980900,"Census Tract 9809, San Francisco County, California",108
6075990100,"Census Tract 9901, San Francisco County, California",0
