Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone
6075025702,"Census Tract 257.02, San Francisco County, California",3635,1147,101,0,2181,0
6075025800,"Census Tract 258, San Francisco County, California",1943,644,39,8,1224,20
6075025900,"Census Tract 259, San Francisco County, California",4517,1364,608,0,1988,0
6075026001,"Census Tract 260.01, San Francisco County, California",5778,2854,89,57,2401,14
6075026002,"Census Tract 260.02, San Francisco County, California",4482,2356,139,17,1486,0
6075026003,"Census Tract 260.03, San Francisco County, California",4697,2296,49,23,1226,0
6075026004,"Census Tract 260.04, San Francisco County, California",4257,1193,10,61,2075,0
6075026100,"Census Tract 261, San Francisco County, California",6445,1914,31,35,3959,36
6075026200,"Census Tract 262, San Francisco County, California",7267,2524,159,10,3990,0
6075026301,"Census Tract 263.01, San Francisco County, California",4406,1174,0,0,2683,0
6075026302,"Census Tract 263.02, San Francisco County, California",4694,1495,287,144,2105,119
6075026303,"Census Tract 263.03, San Francisco County, California",5095,1018,133,12,2840,237
6075026401,"Census Tract 264.01, San Francisco County, California",4105,542,455,0,2892,16
6075026402,"Census Tract 264.02, San Francisco County, California",4032,853,679,25,2198,0
6075026403,"Census Tract 264.03, San Francisco County, California",4231,564,169,67,3375,0
6075026404,"Census Tract 264.04, San Francisco County, California",2626,230,426,0,1730,39
6075030101,"Census Tract 301.01, San Francisco County, California",4222,2915,0,0,896,0
6075030102,"Census Tract 301.02, San Francisco County, California",4641,3091,70,62,1025,20
6075030201,"Census Tract 302.01, San Francisco County, California",3948,2103,25,18,1573,44
6075030202,"Census Tract 302.02, San Francisco County, California",4413,2949,142,0,1026,0
6075030301,"Census Tract 303.01, San Francisco County, California",5728,2621,106,86,2736,0
6075030302,"Census Tract 303.02, San Francisco County, California",3763,1938,11,28,1595,0
6075030400,"Census Tract 304, San Francisco County, California",5169,2719,14,0,2057,0
6075030500,"Census Tract 305, San Francisco County, California",3332,1503,301,29,983,15
6075030600,"Census Tract 306, San Francisco County, California",2098,1554,15,0,484,0
6075030700,"Census Tract 307, San Francisco County, California",6102,3823,64,6,1634,0
6075030800,"Census Tract 308, San Francisco County, California",5656,3264,0,0,2017,10
6075030900,"Census Tract 309, San Francisco County, California",6799,3637,178,0,2776,16
6075031000,"Census Tract 310, San Francisco County, California",3240,2024,86,0,964,0
6075031100,"Census Tract 311, San Francisco County, California",7041,3788,274,33,2382,0
6075031201,"Census Tract 312.01, San Francisco County, California",5704,1725,304,0,3012,28
